date,demand,sku,supermarket,is_promotion,year,month,day,dayofweek,weekofyear,quarter,is_weekend,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_14,rolling_mean_28,rolling_std_7,rolling_std_14,rolling_std_28,supermarket_encoded,sku_encoded,Predicted_Demand
2021-11-05,72.0,Free Range Eggs,DailyNeeds,0,2021,11,5,4,44,4,0,73.0,74.0,74.0,72.71428571428571,72.92857142857143,72.83928571428571,1.3801311186847933,1.8171950369168026,1.8611703378401163,0,0,72.83322
2021-11-06,71.0,Free Range Eggs,DailyNeeds,0,2021,11,6,5,44,4,1,71.0,71.0,72.0,72.57142857142857,72.78571428571429,72.76785714285714,1.3972762620116341,1.8050600428348755,1.8533360454475973,0,0,73.33404
2021-11-07,162.33333333333331,Free Range Eggs,DailyNeeds,0,2021,11,7,6,44,4,1,73.0,71.0,70.0,72.57142857142857,72.78571428571429,72.73214285714286,1.3972762620116341,1.8050600428348755,1.8781499114681763,0,0,70.471
2021-11-08,253.66666666666666,Free Range Eggs,DailyNeeds,0,2021,11,8,0,45,4,0,71.0,71.0,71.0,85.33333333333333,79.30952380952381,76.02976190476191,33.982021390402544,23.958462732569725,17.009441433615617,0,0,71.735725
2021-11-09,345.0,Free Range Eggs,DailyNeeds,0,2021,11,9,1,45,4,0,73.0,73.0,73.0,111.42857142857143,92.35714285714286,82.55357142857143,71.05467750800922,52.19055556663565,37.5891821178234,0,0,72.909485
2021-11-10,72.0,Free Range Eggs,DailyNeeds,0,2021,11,10,2,45,4,0,73.0,76.0,76.0,150.28571428571428,111.78571428571429,92.26785714285714,110.1531641702569,84.84340599541918,62.15098996867096,0,0,74.598305
2021-11-11,73.0,Free Range Eggs,DailyNeeds,0,2021,11,11,3,45,4,0,75.0,76.0,73.0,150.14285714285714,111.5,92.125,110.27068666977789,84.97981157938845,62.1943493291583,0,0,81.88369
2021-11-12,73.0,Free Range Eggs,DailyNeeds,0,2021,11,12,4,45,4,0,72.0,73.0,75.0,149.85714285714286,111.28571428571429,92.125,110.50018554414737,85.07993799125525,62.1943493291583,0,0,77.998215
2021-11-13,70.0,Free Range Eggs,DailyNeeds,0,2021,11,13,5,45,4,1,71.0,71.0,72.5,150.0,111.28571428571429,92.05357142857143,110.38333878571291,85.07993799125525,62.215890113838825,0,0,103.31154
2021-11-14,69.5,Free Range Eggs,DailyNeeds,0,2021,11,14,6,45,4,1,162.33333333333331,73.0,70.0,149.85714285714286,111.21428571428571,91.96428571428571,110.50320208915967,85.11677319638632,62.24677685381801,0,0,87.02701
2021-11-15,69.0,Free Range Eggs,DailyNeeds,0,2021,11,15,0,46,4,0,253.66666666666666,71.0,70.0,136.5952380952381,110.96428571428571,91.94642857142857,114.26301113783808,85.24269471598133,62.253382633588146,0,0,87.30259
2021-11-16,70.0,Free Range Eggs,DailyNeeds,0,2021,11,16,1,46,4,0,345.0,73.0,73.0,110.21428571428571,110.82142857142857,91.91071428571429,103.54381405265805,85.31646628889648,62.26672486156077,0,0,89.66096
2021-11-17,74.0,Free Range Eggs,DailyNeeds,0,2021,11,17,2,46,4,0,72.0,73.0,74.0,70.92857142857143,110.60714285714286,91.80357142857143,1.6938263249369037,85.42246965010618,62.30304033118383,0,0,73.36505
2021-11-18,73.0,Free Range Eggs,DailyNeeds,0,2021,11,18,3,46,4,0,73.0,75.0,75.0,71.21428571428571,110.67857142857143,91.80357142857143,2.0383233072217712,85.3890158943703,62.30304033118383,0,0,72.52897
2021-11-19,73.0,Free Range Eggs,DailyNeeds,0,2021,11,19,4,46,4,0,73.0,72.0,74.0,71.21428571428571,110.53571428571429,91.73214285714286,2.0383233072217712,85.45494585846252,62.324161523773384,0,0,72.571144
2021-11-20,72.0,Free Range Eggs,DailyNeeds,0,2021,11,20,5,46,4,1,70.0,71.0,71.0,71.21428571428571,110.60714285714286,91.69642857142857,2.0383233072217712,85.42066862777192,62.33498468749793,0,0,70.60147
2021-11-21,69.0,Free Range Eggs,DailyNeeds,0,2021,11,21,6,46,4,1,69.5,162.33333333333331,71.0,71.5,110.67857142857143,91.73214285714286,1.9790570145067112,85.38541240044249,62.3229729834292,0,0,65.867424
2021-11-22,70.0,Free Range Eggs,DailyNeeds,0,2021,11,22,0,47,4,0,69.0,253.66666666666666,71.0,71.42857142857143,104.01190476190477,91.66071428571429,2.07019667802744,84.68282866854686,62.3487549772049,0,0,66.87503
2021-11-23,71.0,Free Range Eggs,DailyNeeds,0,2021,11,23,1,47,4,0,70.0,345.0,73.0,71.57142857142857,90.89285714285714,91.625,1.902379462423088,73.15741157348215,62.36131320597467,0,0,70.54556
2021-11-24,72.0,Free Range Eggs,DailyNeeds,0,2021,11,24,2,47,4,0,74.0,72.0,76.0,71.71428571428571,71.32142857142857,91.55357142857143,1.7994708216852957,1.7276834518759452,62.384577430449795,0,0,71.54341
2021-11-25,73.0,Free Range Eggs,DailyNeeds,0,2021,11,25,3,47,4,0,73.0,73.0,76.0,71.42857142857143,71.32142857142857,91.41071428571429,1.5118578920374244,1.7276834518759452,62.4260794488624,0,0,71.94887
2021-11-26,72.0,Free Range Eggs,DailyNeeds,0,2021,11,26,4,47,4,0,73.0,73.0,73.0,71.42857142857143,71.32142857142857,91.30357142857143,1.5118578920374244,1.7276834518759452,62.456075982259016,0,0,71.89891
2021-11-27,72.0,Free Range Eggs,DailyNeeds,0,2021,11,27,5,47,4,1,72.0,70.0,71.0,71.28571428571429,71.25,91.26785714285714,1.380131118685282,1.6727453252282038,62.46721509314503,0,0,69.650856
2021-11-28,71.0,Free Range Eggs,DailyNeeds,0,2021,11,28,6,47,4,1,69.0,69.5,73.0,71.28571428571429,71.39285714285714,91.30357142857143,1.380131118685282,1.642916864656176,62.45548297009349,0,0,75.12162
2021-11-29,69.0,Free Range Eggs,DailyNeeds,0,2021,11,29,0,48,4,0,70.0,69.0,71.0,71.57142857142857,71.5,91.23214285714286,0.9759000729493182,1.5566235649869742,62.47833104670879,0,0,69.36118
2021-11-30,71.0,Free Range Eggs,DailyNeeds,0,2021,11,30,1,48,4,0,71.0,70.0,73.0,71.42857142857143,71.5,91.16071428571429,1.2724180205613171,1.5566235649869742,62.50345640060513,0,0,71.12787
2021-12-01,74.0,Free Range Eggs,DailyNeeds,0,2021,12,1,2,48,4,0,72.0,74.0,73.0,71.42857142857143,71.57142857142857,91.08928571428571,1.2724180205613171,1.5045717874970546,62.526117705769,0,0,69.730545
2021-12-02,75.0,Free Range Eggs,DailyNeeds,0,2021,12,2,3,48,4,0,73.0,73.0,75.0,71.71428571428571,71.57142857142857,91.125,1.603567451475017,1.5045717874970546,62.515687331672574,0,0,69.90126
2021-12-03,70.0,Free Range Eggs,DailyNeeds,0,2021,12,3,4,48,4,0,72.0,73.0,72.0,72.0,71.71428571428571,91.125,2.0000000000003655,1.728875643013915,62.515687331672574,0,0,69.64554
2021-12-04,72.0,Free Range Eggs,DailyNeeds,0,2021,12,4,5,48,4,1,72.0,72.0,71.0,71.71428571428571,71.5,91.05357142857143,2.138089935299749,1.743118337479521,62.53948635084587,0,0,68.91992
2021-12-05,69.0,Free Range Eggs,DailyNeeds,0,2021,12,5,6,48,4,1,71.0,69.0,162.33333333333331,71.71428571428571,71.5,91.08928571428571,2.138089935299749,1.743118337479521,62.5278947157019,0,0,69.64963
2021-12-06,72.0,Free Range Eggs,DailyNeeds,0,2021,12,6,0,49,4,0,69.0,70.0,253.66666666666666,71.42857142857143,71.5,87.75595238095238,2.3704530408867392,1.743118337479521,61.05978454236302,0,0,79.15596
2021-12-07,71.0,Free Range Eggs,DailyNeeds,0,2021,12,7,1,49,4,0,71.0,71.0,345.0,71.85714285714286,71.64285714285714,81.26785714285714,2.1157009420501667,1.6919330254573215,51.714043178857764,0,0,75.20363
2021-12-08,72.0,Free Range Eggs,DailyNeeds,0,2021,12,8,2,49,4,0,74.0,72.0,72.0,71.85714285714286,71.64285714285714,71.48214285714286,2.1157009420501667,1.6919330254573215,1.685900917836324,0,0,72.42949
2021-12-09,74.0,Free Range Eggs,DailyNeeds,0,2021,12,9,3,49,4,0,75.0,73.0,73.0,71.57142857142857,71.64285714285714,71.48214285714286,1.9023794624230874,1.6919330254573215,1.685900917836324,0,0,73.85367
2021-12-10,74.0,Free Range Eggs,DailyNeeds,0,2021,12,10,4,49,4,0,70.0,72.0,73.0,71.42857142857143,71.71428571428571,71.51785714285714,1.6183471874258555,1.772810520854649,1.7292802123743622,0,0,74.98416
2021-12-11,71.0,Free Range Eggs,DailyNeeds,0,2021,12,11,5,49,4,1,72.0,72.0,70.0,72.0,71.85714285714286,71.55357142857143,1.7320508075692982,1.8752289237528512,1.7708508402494485,0,0,71.05095
2021-12-12,67.0,Free Range Eggs,DailyNeeds,0,2021,12,12,6,49,4,1,69.0,71.0,69.5,71.85714285714286,71.78571428571429,71.58928571428571,1.772810520856255,1.8883680959838949,1.7482984925484297,0,0,70.70027
2021-12-13,71.0,Free Range Eggs,DailyNeeds,0,2021,12,13,0,50,4,0,72.0,69.0,69.0,71.57142857142857,71.5,71.5,2.3704530408867335,2.278663575937334,1.9148542155125354,0,0,69.45219
2021-12-14,70.0,Free Range Eggs,DailyNeeds,0,2021,12,14,1,50,4,0,71.0,71.0,70.0,71.42857142857143,71.64285714285714,71.57142857142857,2.3704530408867397,2.169974932755448,1.8544954675471508,0,0,71.26705
2021-12-15,72.0,Free Range Eggs,DailyNeeds,0,2021,12,15,2,50,4,0,72.0,74.0,74.0,71.28571428571429,71.57142857142857,71.57142857142857,2.429971585176153,2.208873214812632,1.8544954675471508,0,0,73.931656
2021-12-16,72.0,Free Range Eggs,DailyNeeds,0,2021,12,16,3,50,4,0,74.0,75.0,73.0,71.28571428571429,71.42857142857143,71.5,2.429971585176153,2.10180456217467,1.7950549357113512,0,0,73.86549
2021-12-17,70.5,Free Range Eggs,DailyNeeds,0,2021,12,17,4,50,4,0,74.0,70.0,73.0,71.0,71.21428571428571,71.46428571428571,2.160246899469671,1.8471837786435303,1.7739293663573092,0,0,73.48154
2021-12-18,69.0,Free Range Eggs,DailyNeeds,0,2021,12,18,5,50,4,1,71.0,72.0,72.0,70.5,71.25,71.375,1.707825127660453,1.8266194079595055,1.756601305973431,0,0,70.639175
2021-12-19,69.0,Free Range Eggs,DailyNeeds,0,2021,12,19,6,50,4,1,67.0,69.0,69.0,70.21428571428571,71.03571428571429,71.26785714285714,1.776164943006068,1.9061064393778404,1.8078129966031342,0,0,69.378265
2021-12-20,69.0,Free Range Eggs,DailyNeeds,0,2021,12,20,0,51,4,0,71.0,72.0,70.0,70.5,71.03571428571429,71.26785714285714,1.2583057392124963,1.9061064393778404,1.8078129966031342,0,0,112.5257
2021-12-21,71.0,Free Range Eggs,DailyNeeds,0,2021,12,21,1,51,4,0,70.0,71.0,71.0,70.21428571428571,70.82142857142857,71.23214285714286,1.3496031162643407,1.9573052792142311,1.8433169722857814,0,0,95.531235
2021-12-22,73.0,Free Range Eggs,DailyNeeds,0,2021,12,22,2,51,4,0,72.0,72.0,72.0,70.35714285714286,70.82142857142857,71.23214285714286,1.375811448876246,1.9573052792142311,1.8433169722857814,0,0,104.22274
2021-12-23,72.0,Free Range Eggs,DailyNeeds,0,2021,12,23,3,51,4,0,72.0,74.0,73.0,70.5,70.89285714285714,71.26785714285714,1.6072751268327126,2.020839233780644,1.8682639141484876,0,0,106.12053
2021-12-24,72.0,Free Range Eggs,DailyNeeds,0,2021,12,24,4,51,4,0,70.5,74.0,72.0,70.5,70.75,71.23214285714286,1.6072751268327126,1.8475555576105132,1.8433169722857814,0,0,103.54528
2021-12-25,72.0,Free Range Eggs,DailyNeeds,0,2021,12,25,5,51,4,1,69.0,71.0,72.0,70.71428571428571,70.60714285714286,71.23214285714286,1.7043362064932015,1.6429168646562144,1.8433169722857814,0,0,106.165726
2021-12-26,70.0,Free Range Eggs,DailyNeeds,0,2021,12,26,6,51,4,1,69.0,67.0,71.0,71.14285714285714,70.67857142857143,71.23214285714286,1.573591584939406,1.6825706392422064,1.8433169722857814,0,0,106.85357
2021-12-27,70.0,Free Range Eggs,DailyNeeds,0,2021,12,27,0,52,4,0,69.0,71.0,69.0,71.28571428571429,70.89285714285714,71.19642857142857,1.380131118685289,1.332703605868476,1.8576133917548237,0,0,115.68277
2021-12-28,72.0,Free Range Eggs,DailyNeeds,0,2021,12,28,1,52,4,0,71.0,70.0,71.0,71.42857142857143,70.82142857142857,71.23214285714286,1.1338934190283745,1.353160728088095,1.8231136514882296,0,0,79.80602
2021-12-29,74.0,Free Range Eggs,DailyNeeds,0,2021,12,29,2,52,4,0,73.0,72.0,74.0,71.57142857142857,70.96428571428571,71.26785714285714,1.133893419028362,1.3652878777045214,1.8281854131245219,0,0,83.48428
